Name,Value
Car Mechanic Simulator 2015 - PickUp & SUV DLC,5.0
Car Mechanic Simulator 2015 - TraderPack,6.0
Car Mechanic Simulator 2015 - Visual Tuning,8.0
Car Mechanic Simulator 2015 - Youngtimer,13.0
Card City Nights,7.0
Card Hunter,34.0
Cards and Castles,3.0
Cargo Commander,7.0
Cargo! - The quest for gravity,3.0
Caribbean!,1.0
Carmageddon 2 Carpocalypse Now,4.0
Carmageddon Max Pack,3.0
Carmageddon Reincarnation,5.0
Carmageddon TDR 2000,3.0
Carnage Racing,1.0
Carpe Diem,5.0
Carpe Diem - Extra Package,1.0
Carrier Command Gaea Mission,14.0
Cart Life,1.0
Cast of the Seven Godsends,1.0
Cast of the Seven Godsends - Soundtrack,1.0
Castaway Paradise,1.0
Caster,28.0
Castle,2.0
Castle Crashers,177.0
Castle Crashers - Blacksmith Pack,25.0
Castle Crashers - Pink Knight Pack,24.0
Castle In The Darkness,1.0
Castle Never Judge a Book by its Cover,1.0
Castle Story,11.0
Castle of Illusion,1.0
CastleMiner Z,16.0
CastleStorm,14.0
CastleStorm - From Outcast to Savior,3.0
CastleStorm - The Warrior Queen,3.0
Castlevania Lords of Shadow  Mirror of Fate HD,4.0
Castlevania Lords of Shadow - Ultimate Edition,20.0
Castlevania Lords of Shadow 2,10.0
Castlevania Lords of Shadow 2 - Armored Dracula Costume,2.0
Castlevania Lords of Shadow 2 - Dark Dracula Costume,3.0
Castlevania Lords of Shadow 2 - Relic Rune Pack,2.0
Castlevania Lords of Shadow 2 - Revelations DLC,3.0
Cat Goes Fishing,3.0
Catmouth Island,1.0
Cave Story+,50.0
Chains,12.0
Chainsaw Warrior,2.0
Chainsaw Warrior Lords of the Night,2.0
Champions Online,45.0
Championship Manager 2008,1.0
Championship Manager 2010,1.0
Chantelise,8.0
Chaos Domain,30.0
Chaos Heroes Online,18.0
Chaos on Deponia,17.0
Chariot,1.0
Chaser,6.0
Chernobyl Commando,2.0
Cherry Tree High Comedy Club,5.0
Cherry Tree High I! My! Girls!,4.0
Chessmaster,1.0
Chicken Shoot 2,1.0
Chicken Shoot Gold,1.0
Child of Light,41.0
Children of the Nile,2.0
Children of the Nile Alexandria,2.0
Chime,8.0
Chip,12.0
Chip's Challenge 2,1.0
Chivalry Medieval Warfare,222.0
Chocolatier Decadence by Design,1.0
Choice Chamber,1.0
Choice of Robots,1.0
Choice of the Deathless,1.0
Chompy Chomp Chomp,1.0
Choplifter HD,1.0
Chris Sawyer's Locomotion,1.0
Chroma Squad,4.0
Chrome,2.0
Chrome Specforce,2.0
Chronicles of Mystery The Scorpio Ritual,1.0
Chronicles of a Dark Lord Episode 1 Tides of Fate Complete,2.0
Chronology,1.0
Chucks Challenge 3D,1.0
Chunk of Change Knight,1.0
Chuzzle Deluxe,1.0
Cinders,6.0
Circuits,2.0
Citadels,1.0
Cities Skylines,122.0
Cities XL,2.0
Cities XL - Limited Edition,3.0
Cities XL 2011,8.0
Cities XL 2012,12.0
Cities XL Platinum,36.0
Cities XXL,6.0
Cities in Motion,14.0
Cities in Motion 2,38.0
Cities in Motion 2 Marvellous Monorails,1.0
Citizens of Earth,4.0
City Life 2008,2.0
City of Heroes,2.0
City of Steam Arkadia,18.0
CivCity Rome,4.0
Civil War II,1.0
Claire,4.0
